Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
blésu,19,"['sfg3fþ', 19]",blesu,1,"['nveo', 1]",True,False,
stélið,1,"['nheog', 1]",stelið,1,"['sfg2fn', 1]",True,False,
éti,7,"['svg3en', 6, 'svg1en', 1]",eti,1,"['svg3fn', 1]",True,False,
léttar,67,"['aam', 41, 'lvfosf', 12, 'lvfnsf', 9, 'nkfn', 4, 'aa', 1]",lettar,1,"['nkfns', 1]",True,False,
héri,3,"['nken', 3]",heri,5,"['nkfo', 5]",True,False,
tréð,45,"['nheog', 25, 'nheng', 20]",treð,5,"['sfg1en', 5]",True,False,
féllst,61,"['sfm3eþ', 49, 'sfm1eþ', 8, 'sfm2eþ', 3, 'sfg2eþ', 1]",fellst,14,"['sfm3en', 11, 'sfm1en', 2, 'sfm2en', 1]",True,False,
blési,7,"['svg3eþ', 6, 'svg1eþ', 1]",blesi,7,"['nkens', 7]",True,False,
véfengja,4,"['sng', 4]",vefengja,6,"['sfg3fn', 6]",True,False,
frést,6,"['ssm', 6]",frest,47,"['nkeo', 47]",True,False,
fléttum,5,"['nvfþ', 5]",flettum,9,"['sfg1fn', 7, 'svg1fn', 1, 'sfg1fþ', 1]",True,False,
fés,4,"['nheo', 3, 'nhfo', 1]",fes,3,"['nhen', 3]",True,False,
viðhélst,1,"['sfm3eþ', 1]",viðhelst,3,"['sfm3en', 3]",True,False,
méla,1,"['sng', 1]",mela,9,"['nkfo', 5, 'nkfos', 4]",True,False,
héra,2,"['nkeo', 1, 'nkeþ', 1]",hera,6,"['nvens', 6]",True,False,
óvéfengjanleg,1,"['lhfnsf', 1]",óvefengjanleg,1,"['lvensf', 1]",True,False,
kaffið,153,"['nheog', 120, 'nheng', 33]",kafið,1,"['lhensf', 1]",True,False,
skúffur,9,"['nvfo', 9]",skúfur,1,"['nken', 1]",True,False,
töff,53,"['lhenof', 29, 'lkenof', 10, 'lvensf', 5, 'lvenof', 4, 'lkfeof', 2, 'lhfnof', 1, 'lvfþof', 1, 'lheþsf', 1]",töf,10,"['nven', 6, 'nveþ', 3, 'nveo', 1]",True,False,
gaffla,2,"['nkfo', 2]",gafla,2,"['nkfe', 2]",True,False,
bekkja,4,"['nkfe', 4]",beggja,194,"['fohfe', 91, 'fokfe', 67, 'fovfe', 36]",True,False,
ekkja,28,"['nven', 28]",eggja,8,"['sng', 5, 'nhfe', 1, 'nvfns', 1, 'sfg3fn', 1]",True,False,
stykki,67,"['nhfo', 34, 'nheo', 11, 'nhen', 9, 'nhfn', 8, 'nheþ', 3, 'svg3en', 2]",styggi,1,"['lkenvf', 1]",True,False,
hrykkjum,2,"['svg1fþ', 2]",hryggjum,3,"['nkfþ', 3]",True,False,
blokk,40,"['nveþ', 26, 'nveo', 11, 'nven', 3]",blogg,1,"['nheo', 1]",True,False,
krökkum,82,"['nkfþ', 81, 'lkfþsf', 1]",kröggum,4,"['nvfþ', 4]",True,False,
makka,8,"['nkeo', 4, 'nkeþ', 2, 'sng', 2]",magga,276,"['nvens', 208, 'nkeþs', 39, 'nven', 20, 'nkeos', 7, 'nkees', 2]",True,False,
dökku,29,"['lheþsf', 17, 'lhfþvf', 4, 'lveovf', 2, 'lhfovf', 2, 'lvfnvf', 2, 'lkfnvf', 1, 'lhfnvf', 1]",döggu,1,"['nvees', 1]",True,False,
bokka,4,"['nven', 2, 'nkee', 1, 'nkeo', 1]",bogga,86,"['nvens', 86]",True,False,
rakka,8,"['sng', 7, 'sfg3fn', 1]",ragga,30,"['nvens', 22, 'nkeþs', 4, 'nkeos', 2, 'nkees', 2]",True,False,
hrekk,18,"['sfg1en', 16, 'nkeo', 2]",hregg,2,"['nheo', 1, 'nkens', 1]",True,False,
gakk,6,"['sbg2en', 6]",gagg,1,"['nhen', 1]",True,False,
lökkum,1,"['nhfþ', 1]",löggum,2,"['nvfþ', 2]",True,False,
lökk,2,"['nhfn', 2]",lögg,8,"['nveo', 3, 'nven', 3, 'nveþ', 2]",True,False,
ekkjunum,2,"['nvfþg', 2]",eggjunum,4,"['nhfþg', 4]",True,False,
rokkinn,2,"['nkeog', 2]",rogginn,9,"['lkensf', 9]",True,False,
hrykki,12,"['svg3eþ', 11, 'svg1eþ', 1]",hryggi,1,"['nkfo', 1]",True,False,
rakki,7,"['nken', 6, 'svg3en', 1]",raggi,39,"['nkens', 39]",True,False,
blokka,1,"['nkfo', 1]",blogga,1,"['sng', 1]",True,False,
bokku,2,"['nveo', 1, 'nveþ', 1]",boggu,21,"['nveþs', 11, 'nveos', 6, 'nvees', 4]",True,False,
hnekki,1,"['nkeo', 1]",hneggi,1,"['svg3en', 1]",True,False,
skekki,1,"['svg3en', 1]",skeggi,18,"['nheþ', 17, 'nkfo', 1]",True,False,
akk,1,"['nheo', 1]",agg,2,"['as', 2]",True,False,
krökkur,1,"['lkensf', 1]",kröggur,1,"['nvfo', 1]",True,False,
föggur,21,"['nvfo', 14, 'nvfn', 7]",fögur,67,"['lvensf', 45, 'lhfosf', 13, 'lhfnsf', 9]",True,False,
eyðileggur,16,"['sfg3en', 15, 'sfg2en', 1]",eyðilegur,2,"['lkensf', 2]",True,False,
